Hi! Nor khu pohaygay :),Ugz5vA0BDYaULvn1LA94AaABAg,Muhammad Uzair,2,1
Great video!,UgwZBMm_-IW8TSH79ZJ4AaABAg,Hassan M. Saddique,0,1
Sir we use stored procedures which even not show the table name i think ..,UgyzcYPiaR_XYayBVLN4AaABAg,Rohan Farooqui,1,1
